log10(E (MeV)),log10(sigma (barn))
-11.00000001,1.735178109
-10.95435514,1.713755029
-10.90873553,1.692490255
-10.86309119,1.671374831
-10.81747122,1.650447126
-10.77182709,1.629701549
-10.72620684,1.609178087
-10.68056287,1.588874716
-10.63494242,1.568833046
-10.58929868,1.549054663
-10.54367787,1.529582934
-10.49803431,1.510422761
-10.45241346,1.491618944
-10.40677012,1.473179556
-10.36114906,1.455150252
-10.31247471,1.436387929
-10.26380038,1.418148449
-10.21512606,1.400466113
-10.16645169,1.383374764
-10.11777728,1.366907005
-10.06604992,1.350124072
-10.01434431,1.334120101
-9.962615336,1.318910364
-9.907856803,1.303709755
-9.853098375,1.289454586
-9.795309843,1.275448717
-9.73749719,1.262505243
-9.676654234,1.250025225
-9.612780903,1.238153333
-9.545853606,1.227011838
-9.475872982,1.216702433
-9.399830594,1.206935515
-9.317681502,1.197900481
-9.229470304,1.189739982
-9.132121638,1.182317624
-9.022604343,1.175613475
-8.897865484,1.169675874
-8.751842426,1.164485295
-8.578450836,1.160105817
-8.362447696,1.156448501
-8.073454408,1.153315398
-7.65363807,1.149963674
-7.597878307,1.149497619
-7.596879481,1.149489092
-6.930638588,1.139528929
-6.656845337,1.130444194
-6.599107298,1.129405285
-6.479272248,1.132246046
-6.403207907,1.130070056
-6.199394693,1.117741008
-5.983391613,1.100171758
-5.974275836,1.099864815
-5.958837611,1.101399431
-5.944727946,1.106619233
-5.931386428,1.11244848
-5.921375384,1.114109221
-5.909206786,1.112780058
-5.880178454,1.10628057
-5.819340234,1.097396151
-5.725023001,1.084402418
-5.708396445,1.079624362
-5.700561564,1.076692752
-5.699453745,1.076622242
-5.696147119,1.077903592
-5.692103391,1.082972687
-5.687020406,1.090281302
-5.683700054,1.092154149
-5.68316686,1.092208977
-5.676819373,1.090203648
-5.665008903,1.085751285
-5.637618942,1.080215408
-5.570505377,1.068809721
-5.552524767,1.064526498
-5.531722436,1.060985777
-5.513064553,1.05597206
-5.51228012,1.055932353
-5.508046286,1.05686081
-5.503194971,1.061001363
-5.497747107,1.066956518
-5.493651952,1.068877806
-5.492794719,1.068910529
-5.486418816,1.066674377
-5.462922846,1.052087545
-5.45215514,1.042771157
-5.450975069,1.042271676
-5.448624445,1.043158996
-5.446986551,1.046111544
-5.445180342,1.052181988
-5.443011183,1.062755291
-5.44038104,1.076423716
-5.438773886,1.082745133
-5.437401025,1.08613287
-5.435408079,1.087796071
-5.433106571,1.086286493
-5.425049408,1.075221118
-5.418658827,1.069157223
-5.408625604,1.063039388
-5.389197241,1.055363192
-5.349659976,1.041404253
-5.337491384,1.034614541
-5.331936892,1.029722152
-5.327763477,1.024079671
-5.32496893,1.018318035
-5.320432604,1.005675335
-5.319514669,1.004706994
-5.318802106,1.005327341
-5.317989148,1.008030575
-5.317177708,1.013208535
-5.31636778,1.020868671
-5.315418057,1.032408089
-5.313424273,1.058979094
-5.312501028,1.06887284
-5.311779833,1.07451456
-5.310979901,1.078418462
-5.310196372,1.079975857
-5.309935538,1.080056625
-5.308678981,1.078119366
-5.304309488,1.06251723
-5.301832207,1.056116959
-5.298142623,1.049809114
-5.293998611,1.044960603
-5.28501279,1.037568358
-5.267825686,1.027007788
-5.26582025,1.026469525
-5.261611459,1.028311005
-5.25889063,1.029321511
-5.253499618,1.026889338
-5.238761636,1.017065117
-5.229080244,1.007694448
-5.221091607,0.996630343
-5.21208278,0.981399961
-5.207839389,0.974931599
-5.206115319,0.970722978
-5.20425529,0.96323909
-5.201125569,0.94407612
-5.200299484,0.941337382
-5.20018159,0.941263705
-5.19971037,0.942092422
-5.199286744,0.944719002
-5.198910508,0.948880803
-5.198534598,0.955008123
-5.198159014,0.963264045
-5.197736865,0.975170832
-5.197385393,0.987148825
-5.196940594,1.004730879
-5.19657179,1.021004664
-5.196203332,1.038370043
-5.195520688,1.071854513
-5.194376212,1.124475401
-5.193818725,1.145468493
-5.193445191,1.1571669
-5.193021105,1.167925925
-5.192631314,1.175381911
-5.192123406,1.18165157
-5.191616092,1.184259874
-5.19144714,1.184385813
-5.19104233,1.183337304
-5.190637928,1.180618322
-5.190004124,1.173725595
-5.189371244,1.164666565
-5.187565694,1.135477309
-5.186665695,1.122332286
-5.185767588,1.111062901
-5.184692312,1.099918506
-5.183619692,1.090902172
-5.182015697,1.080246927
-5.180240376,1.071088327
-5.178031422,1.062093231
-5.175395422,1.053459994
-5.171124051,1.041985566
-5.162705309,1.020359045
-5.159771521,1.010259706
-5.156287009,0.994563491
-5.15503138,0.99014711
-5.154613641,0.989502054
-5.153779369,0.990306748
-5.153154701,0.993293353
-5.152530958,0.998689844
-5.15180341,1.008089576
-5.151179668,1.018442341
-5.149911527,1.042837231
-5.149087048,1.05802575
-5.148242512,1.070588092
-5.1477236,1.076236249
-5.147011114,1.081204968
-5.14636442,1.083071336
-5.14614906,1.083197145
-5.145288713,1.081710221
-5.144001366,1.075670626
-5.141566228,1.061810097
-5.139450758,1.052391138
-5.136679909,1.043634246
-5.132556544,1.034570186
-5.127118897,1.02584107
-5.11660848,1.012834779
-5.10320265,0.993972396
-5.094343768,0.978230839
-5.088433663,0.964501938
-5.084747314,0.953695678
-5.081705195,0.942841545
-5.079047736,0.931367137
-5.076767986,0.919519017
-5.074747083,0.906966788
-5.072981484,0.893967989
-5.071125593,0.877731016
-5.068857145,0.853594188
-5.066279093,0.82186364
-5.06531625,0.811605164
-5.064675554,0.80714243
-5.064195616,0.806009887
-5.063716255,0.807635202
-5.063396943,0.810696011
-5.063077913,0.815669711
-5.06275907,0.822834641
-5.062440509,0.832441975
-5.062122133,0.844691598
-5.06180399,0.859708033
-5.061565584,0.872807226
-5.061327261,0.887452383
-5.061089069,0.903578565
-5.060851006,0.921084964
-5.060613123,0.939837619
-5.060375321,0.959673523
-5.060058456,0.987482008
-5.059781411,1.012740531
-5.059425464,1.04591228
-5.059069808,1.079197315
-5.058635508,1.119035056
-5.057563451,1.207204033
-5.057138354,1.236219359
-5.056780931,1.257477361
-5.056349573,1.279111655
-5.055949405,1.295189661
-5.055580344,1.306655432
-5.055273071,1.31382284
-5.054904583,1.319711629
-5.054597788,1.322509348
-5.054291162,1.323547279
-5.053831652,1.322164549
-5.053372628,1.317779844
-5.052761366,1.308307709
-5.051846059,1.289088758
-5.050628673,1.259959197
-5.049717846,1.238742925
-5.04880897,1.219434724
-5.047901947,1.202357083
-5.047147523,1.189747979
-5.046244005,1.176306413
-5.044892174,1.158899057
-5.043424962,1.142648745
-5.041724442,1.125968378
-5.038934536,1.100994791
-5.037339842,1.088301904
