log10(E (MeV)),log10(sigma (barn))
-11.00000001,4.490278301
-10.95740992,4.468981742
-10.9148197,4.447685039
-10.87222968,4.426388139
-10.82963971,4.405091082
-10.78704973,4.383793774
-10.74445954,4.36249628
-10.70186969,4.341198501
-10.65927953,4.319900432
-10.61668939,4.298602072
-10.57409947,4.277303385
-10.53150926,4.256004289
-10.48891927,4.234704783
-10.44632922,4.2134048
-10.40373916,4.192104327
-10.36114906,4.1708033
-10.31855903,4.149501644
-10.27596898,4.128199314
-10.23337891,4.106896243
-10.19078887,4.085592338
-10.14819874,4.064287542
-10.10560873,4.042981712
-10.06301865,4.021674781
-10.02042858,4.00036662
-9.97783854,3.979057163
-9.935248583,3.95774619
-9.892658422,3.936433575
-9.850068419,3.9151192
-9.807478284,3.893802818
-9.764888125,3.872484255
-9.722298212,3.851163301
-9.679708069,3.829839713
-9.637118098,3.808513223
-9.594527981,3.787183535
-9.551937856,3.765850348
-9.509347925,3.744513276
-9.466757872,3.723171967
-9.424167764,3.701826003
-9.381577731,3.680474945
-9.338987678,3.659118232
-9.29639757,3.637755405
-9.253807462,3.61638581
-9.211217484,3.595008834
-9.168627353,3.573623756
-9.126037342,3.552229831
-9.083447246,3.530826255
-9.040857196,3.5094121
-8.998267161,3.487986504
-8.955677108,3.466548367
-8.913086996,3.44509664
-8.870496959,3.423630209
-8.827906917,3.40214778
-8.785316852,3.38064817
-8.74272677,3.359130118
-8.700136721,3.337592277
-8.657546665,3.316033651
-8.614956583,3.294453282
-8.572366528,3.272850883
-8.529776462,3.251226651
-8.487186416,3.2295813
-8.444596356,3.207915256
-8.402006277,3.186226964
-8.359416234,3.164511507
-8.316826151,3.142760943
-8.274236115,3.120967626
-8.23164605,3.099128822
-8.189055968,3.077248196
-8.146465936,3.055334508
-8.103875849,3.033390669
-8.061285821,3.011422422
-8.018695743,2.989433413
-7.976105667,2.96742622
-7.933515621,2.945394557
-7.890925564,2.923318726
-7.848335493,2.901178792
-7.805745463,2.878965705
-7.763155392,2.856670489
-7.720565313,2.834273783
-7.677975247,2.811748946
-7.63538519,2.78906989
-7.597878307,2.768947498
-7.596879481,2.768409411
-7.554289414,2.745335781
-7.511699367,2.721976267
-7.469109317,2.698311437
-7.426519227,2.674351937
-7.383929166,2.650048422
-7.341339104,2.625302652
-7.301780554,2.601943576
-7.262243273,2.578249084
-7.222684709,2.554193561
-7.18314746,2.529809851
-7.143588889,2.50508909
-7.104051631,2.480089661
-7.067545874,2.456792165
-7.031040083,2.433351717
-6.994534346,2.409859887
-6.958028565,2.386450928
-6.924554299,2.365225346
-6.891101307,2.344465822
-6.857627055,2.324459679
-6.827205575,2.30731995
-6.796784106,2.291665377
-6.769415421,2.279397146
-6.745078267,2.270470779
-6.720741072,2.2640051
-6.699435385,2.26088554
-6.686379362,2.26035541
-6.665073656,2.262017414
-6.643789278,2.266924173
-6.616399318,2.277352423
-6.585977824,2.290462052
-6.5691171,2.295258331
-6.557991558,2.296191149
-6.545822972,2.294409777
-6.53365437,2.289160625
-6.521485797,2.280146064
-6.509317171,2.267385203
-6.494095788,2.246678886
-6.454558556,2.176751759
-6.439337166,2.147240151
-6.424137078,2.117904479
-6.411968495,2.094934902
-6.399799906,2.072637677
-6.38763131,2.051122067
-6.375462713,2.030437461
-6.360241329,2.005743674
-6.345041237,1.982355406
-6.32981984,1.960136528
-6.314619762,1.939067556
-6.299398365,1.919008783
-6.284198281,1.899944931
-6.265945414,1.878248041
-6.247692542,1.857790791
-6.229439652,1.838540405
-6.211186755,1.820509423
-6.192933901,1.803736729
-6.17468098,1.788345243
-6.156428109,1.774511484
-6.138175245,1.762454908
-6.119922334,1.752610069
-6.104700966,1.746492906
-6.089500871,1.742760596
-6.077502466,1.741913664
-6.065333887,1.7434141
-6.053165293,1.747881284
-6.044028201,1.753656576
-6.034912413,1.76196231
-6.025775335,1.773383476
-6.019691018,1.783036948
-6.013606727,1.794600356
-6.007522444,1.808339236
-6.001438144,1.824540664
-5.99535387,1.843493806
-5.990793262,1.859658022
-5.98623806,1.877553159
-5.98166686,1.897261498
-5.977100982,1.91856329
-5.971016676,1.948832068
-5.960534431,2.000431292
-5.956460601,2.016906904
-5.953407799,2.026367948
-5.951132179,2.031238478
-5.948487753,2.034012621
-5.947546571,2.034149245
-5.945051401,2.03209723
-5.942768069,2.026879537
-5.940817042,2.019694149
-5.93888266,2.009971703
-5.936972793,1.997773826
-5.934439256,1.977600957
-5.932147615,1.95553014
-5.929868048,1.930175206
-5.922270647,1.825563298
-5.919217841,1.777449124
-5.916942237,1.740409978
-5.914657267,1.702759562
-5.912373679,1.665141108
-5.910857947,1.640392462
-5.909336852,1.615876794
-5.907810435,1.591718896
-5.906289402,1.568206959
-5.904773639,1.545457596
-5.903324514,1.524463786
-5.90194126,1.505231971
-5.900562435,1.48696785
