log10(E (MeV)),log10(sigma (barn))
-11.00000001,3.757430876
-10.95740992,3.736134717
-10.9148197,3.714838442
-10.87222968,3.693542024
-10.82963971,3.672245461
-10.78704973,3.650948774
-10.74445954,3.629651855
-10.70186969,3.608354787
-10.65927953,3.587057505
-10.61668939,3.56575999
-10.57409947,3.544462202
-10.53150926,3.523164124
-10.48891927,3.501865738
-10.44632922,3.480567025
-10.40373916,3.459267886
-10.36114906,3.437968332
-10.31855903,3.416668334
-10.27596898,3.395367821
-10.23337891,3.374066721
-10.19078887,3.352764957
-10.14819874,3.331462539
-10.10560873,3.310159314
-10.06301865,3.288855248
-10.02042858,3.267550201
-9.97783854,3.246244133
-9.935248583,3.224936885
-9.892658422,3.20362836
-9.850068419,3.182318401
-9.807478284,3.161006842
-9.764888125,3.139693534
-9.722298212,3.11837825
-9.679708069,3.097060802
-9.637118098,3.075740933
-9.594527981,3.054418391
-9.551937856,3.033092878
-9.509347925,3.011763978
-9.466757872,2.990431403
-9.424167764,2.969094664
-9.381577731,2.947753307
-9.338987678,2.926406731
-9.29639757,2.905054362
-9.253807462,2.88369546
-9.211217484,2.862329265
-9.168627353,2.840954799
-9.126037342,2.819571085
-9.083447246,2.798176923
-9.040857196,2.776770904
-8.998267161,2.755351511
-8.955677108,2.73391697
-8.913086996,2.712465139
-8.870496959,2.690993674
-8.827906917,2.669499838
-8.785316852,2.647980435
-8.74272677,2.62643188
-8.700136721,2.604849942
-8.657546665,2.583230021
-8.614956583,2.561566904
-8.572366528,2.53985495
-8.529776462,2.518088129
-8.487186416,2.496259359
-8.444596356,2.474359939
-8.402006277,2.452377528
-8.359416234,2.430294306
-8.316826151,2.408087471
-8.274236115,2.385732219
-8.23164605,2.363206379
-8.189055968,2.340492103
-8.146465936,2.317575035
-8.103875849,2.294433091
-8.061285821,2.27104779
-8.018695743,2.247399725
-7.976105667,2.223471983
-7.933515621,2.199244337
-7.890925564,2.174691057
-7.85136698,2.151580519
-7.811829728,2.128197339
-7.772271158,2.104538257
-7.732733916,2.080655635
-7.69317532,2.056555992
-7.65363807,2.032307484
-7.617132325,2.009820063
-7.597878307,1.997934591
-7.596879481,1.997317652
-7.56037372,1.974744814
-7.523867943,1.952139082
-7.487362188,1.929539086
-7.450856415,1.907002464
-7.414350633,1.884583533
-7.377844889,1.862246214
-7.341339104,1.839963557
-7.304833356,1.817798993
-7.26832759,1.79579545
-7.231821824,1.773983178
-7.195316028,1.752401167
-7.158810291,1.731103236
-7.122304501,1.710164187
-7.085798769,1.689687205
-7.049293,1.669813831
-7.012787215,1.650736835
-6.979312945,1.634166099
-6.94585999,1.618763006
-6.912385711,1.604863587
-6.88196422,1.593937065
-6.85154275,1.585103773
-6.824174092,1.579422891
-6.796784106,1.576428189
-6.785005822,1.576120829
-6.76105389,1.577617601
-6.736716729,1.582474009
-6.715432337,1.589866609
-6.69412666,1.600469258
-6.672842279,1.614307451
-6.648505109,1.633595615
-6.608946543,1.667627747
-6.593746445,1.678370302
-6.581577851,1.684387388
-6.570191679,1.687010861
-6.567376537,1.687116774
-6.559824891,1.686195505
-6.550687781,1.68251647
-6.541572,1.675797509
-6.532434884,1.665842146
-6.523319098,1.652656609
-6.514182028,1.636272391
-6.502013432,1.609928922
-6.471591974,1.527100087
-6.459423369,1.489986574
-6.450307575,1.461656384
-6.441170504,1.433215231
-6.432054687,1.405098368
-6.422917613,1.377417142
-6.413801822,1.350485439
-6.404664715,1.32431127
-6.395548941,1.299106486
-6.386411839,1.274807119
-6.377296057,1.251551402
-6.368158957,1.229233241
-6.359043155,1.207943137
-6.349906077,1.187555773
-6.340790275,1.168132953
-6.3316532,1.149545389
-6.31948459,1.126089373
-6.307316014,1.104027035
-6.295147411,1.083264373
-6.282978855,1.063714672
-6.270810232,1.045301303
-6.255610148,1.02379908
-6.240388757,1.00384386
-6.225188709,0.985430247
-6.20996732,0.968483322
-6.1947672,0.953049313
-6.179545816,0.939167831
-6.164345745,0.927001981
-6.149124362,0.916684984
-6.133924265,0.908527374
-6.118702887,0.902960222
-6.106534296,0.90076726
-6.100950648,0.900544689
-6.088782049,0.902075649
-6.079644966,0.905349218
-6.070529172,0.910791635
-6.061392083,0.918843562
-6.052276294,0.929984213
-6.046191999,0.939460095
-6.040107696,0.950832589
-6.034023403,0.964367931
-6.027939105,0.980373705
-6.023367924,0.994235786
-6.018802024,1.009839802
-6.014241442,1.027362779
-6.009686244,1.046995466
-6.005115044,1.069049101
-6.000549129,1.093649525
-5.997517654,1.11151112
-5.994464815,1.130803839
-5.991433338,1.151314188
-5.988380531,1.173377083
-5.985349033,1.196714973
-5.982296252,1.221664048
-5.979264776,1.24785177
-5.976211968,1.275577057
-5.973180469,1.304325029
-5.970127644,1.334293857
-5.967096177,1.364765726
-5.964043352,1.395752666
-5.958396457,1.451911043
-5.952743888,1.502481991
-5.949712399,1.525239418
-5.946796363,1.543096322
-5.944598639,1.553441921
-5.942607184,1.560222146
-5.940500697,1.564497935
-5.938404427,1.565641527
-5.936199266,1.563393743
-5.93400529,1.557625528
-5.931783535,1.548263129
-5.929495926,1.535088738
-5.927220347,1.518684742
-5.924935373,1.499241386
-5.920380146,1.453209676
-5.915808953,1.400252332
-5.912766771,1.363018283
-5.910483177,1.334731591
-5.908211569,1.30672807
-5.90591993,1.278966833
-5.903640361,1.252156242
-5.902127269,1.234941728
-5.899835487,1.209922176
-5.897555732,1.186425455
-5.895198194,1.163614016
-5.892853384,1.142261568
-5.890056246,1.117988615
-5.885663892,1.080259129
-5.879497635,1.022825983
-5.875210301,0.979990911
-5.872970691,0.957762973
-5.870742572,0.936332045
-5.868525825,0.915989189
-5.866320336,0.896875276
-5.86412599,0.879010045
-5.861942676,0.862335474
-5.858688147,0.839342961
-5.855457829,0.818459611
-5.852251357,0.799370604
-5.850126788,0.787513678
-5.845908577,0.765614097
-5.841730943,0.745820809
-5.837159731,0.726043207
-5.832593845,0.70801846
-5.828033262,0.691549765
-5.823478039,0.676477048
-5.817393758,0.658289924
-5.811309476,0.642137935
-5.805225173,0.627835747
-5.799140879,0.615265051
-5.793056573,0.604385265
-5.786972281,0.595202698
-5.780887988,0.58778278
-5.774803688,0.582267956
-5.768719402,0.578895357
-5.763068417,0.578011264
-5.756984111,0.580041125
-5.752412917,0.584090033
-5.747847014,0.590851862
-5.744815528,0.597181735
-5.741762718,0.605356016
-5.738731249,0.615604898
-5.735678422,0.628509596
-5.733402838,0.640145002
-5.731117848,0.653888425
-5.72883428,0.670057339
-5.726562654,0.689009368
-5.725033555,0.703650447
-5.723509848,0.719976779
-5.721991441,0.738201801
-5.720478352,0.758574313
-5.719159405,0.778379195
-5.71784445,0.800276101
-5.716860841,0.81822794
-5.715879454,0.837628142
-5.714853719,0.859657158
-5.714109211,0.876872888
-5.713366002,0.895177205
-5.712624063,0.914648748
-5.711968786,0.932912911
-5.711115572,0.958303802
-5.710264005,0.985591897
-5.709697229,1.004901479
-5.709131191,1.025146171
-5.70856589,1.046356582
-5.708001324,1.068557303
-5.707437491,1.091764742
-5.706874389,1.115984942
-5.706312017,1.141210987
-5.705750371,1.167420814
-5.705189451,1.194575028
-5.704629252,1.222615141
-5.704069777,1.251461937
-5.703511022,1.281015199
-5.702952985,1.311153803
-5.702395664,1.341736348
-5.701839057,1.372602955
-5.701283163,1.403577817
-5.700727979,1.434472119
-5.700173504,1.465087341
-5.69934313,1.510038319
-5.698514289,1.553203188
-5.696037366,1.665336779
-5.695214803,1.69495765
-5.694393848,1.719882938
-5.693792781,1.734957986
-5.693192597,1.747186344
-5.692647628,1.755752444
-5.692103391,1.761833095
-5.691581521,1.765297152
-5.691067088,1.766417227
-5.690569513,1.76532022
-5.690149663,1.762725981
-5.689608497,1.757140008
-5.689068055,1.749066375
-5.688460816,1.737075765
-5.687854425,1.72210194
-5.687181711,1.702116223
-5.686375736,1.673764122
-5.685303473,1.629254428
-5.683700054,1.55061254
-5.682900559,1.507231955
-5.682102482,1.462005353
-5.681571295,1.431157216
-5.681040707,1.399979904
-5.680510816,1.368663377
-5.679981521,1.337389589
-5.67945292,1.306328636
-5.678924912,1.275636781
-5.678397593,1.245453368
-5.677870866,1.21590036
-5.677344826,1.187079942
-5.676819373,1.159075356
-5.676294605,1.131950192
-5.675770421,1.105750428
-5.675246918,1.080504947
-5.674723995,1.056227815
-5.674201751,1.032920004
-5.673680085,1.010571984
-5.673159094,0.989165164
-5.672638679,0.968674463
-5.671859271,0.939588784
-5.671081258,0.912380702
-5.670563325,0.895224306
-5.66978763,0.870870784
-5.669013318,0.84806608
-5.668240335,0.826692811
-5.667468775,0.806641099
-5.66670358,0.787927179
-5.665939685,0.770324944
-5.664796426,0.74582346
-5.66365612,0.723381203
-5.662518803,0.702776542
-5.661384502,0.683817003
-5.660237149,0.66609771
-5.659092869,0.649744713
-5.657571851,0.629836751
-5.656056095,0.611847101
-5.654534999,0.595433829
-5.653008595,0.580427703
-5.650729025,0.560403685
-5.648450666,0.542853674
-5.646163107,0.527338297
-5.643887488,0.513689206
