log10(E (MeV) ),log10(sigma (barn))
-3,-6
-2.82391,-6
-2.69897,-6
-2.67572,-6
-2.62525,-5.698970004
-2.57675,-5.698970004
-2.52288,-5.698970004
-2.47496,-5.698970004
-2.42628,-5.522878745
-2.39794,-5.522878745
-2.37675,-5.397940009
-2.32808,-5.397940009
-2.31591,-5.301029996
-2.27572,-5.22184875
-2.22185,-5.22184875
-2.17087,-5.096910013
-2.12525,-4.958607315
-2.11611,-4.958607315
-2.07572,-4.958607315
-2.02228,-4.795880017
-1.98783,-4.744727495
-1.94692,-4.698970004
-1.91777,-4.619788758
-1.88286,-4.552841969
-1.85389,-3.178486472
-1.85387,-3.177831921
-1.82391,-2.872571222
-1.79588,-2.699187206
-1.79283,-2.684029655
-1.75203,-2.513144645
-1.65758,-2.261060969
-1.63827,-2.21445663
-1.58503,-2.10380459
-1.55284,-2.063536526
-1.52288,-2.015607721
-1.44378,-1.874161036
-1.4437,-1.874031037
-1.39794,-1.813523969
-1.34679,-1.757235022
-1.33343,-1.739475464
-1.30103,-1.445171774
-1.29495,-1.408868584
-1.28457,-1.352245495
-1.25181,-1.122761151
-1.22185,-1.004667601
-1.14884,-0.838706883
-1.14874,-0.838509215
-1.09691,-0.704459288
-1.08572,-0.683078187
-1.04576,-0.571054092
-1,-0.491499908
-0.99695,-0.487364958
-0.98516,-0.471477942
-0.92082,-0.37361138
-0.91785,-0.369797976
-0.88656,-0.32998249
-0.85387,-0.276777547
-0.85092,-0.273207611
-0.8207,-0.236918832
-0.79588,-0.197172932
-0.78674,-0.188524867
-0.76589,-0.168757495
-0.76416,-0.167012988
-0.70341,-0.0892449
-0.69897,-0.082878541
-0.69592,-0.08014088
-0.64514,-0.034290429
-0.61979,-0.005323064
-0.61682,-0.003486577
-0.60171,0.005922299
-0.58484,0.01660677
-0.53403,0.057298966
-0.52881,0.062059765
-0.52288,0.067539507
-0.4759,0.09155371
-0.46856,0.09638472
-0.46852,0.096407678
-0.44511,0.10582787
-0.43339,0.11071796
-0.43111,0.111967502
-0.4035,0.127724037
-0.39794,0.13117131
-0.38032,0.138408811
-0.36796,0.145003309
-0.36091,0.149521166
-0.35655,0.152345227
-0.35607,0.152513997
-0.34908,0.155006091
-0.34061,0.158861644
-0.32484,0.166221057
-0.32209,0.167669945
-0.3124,0.173871854
-0.30103,0.181211687
-0.29064,0.184617055
-0.2719,0.192575537
-0.27123,0.192873972
-0.26761,0.194838346
-0.26455,0.195669166
-0.25746,0.197606639
-0.24379,0.201406411
-0.22891,0.205642769
-0.22185,0.208032938
-0.2188,0.208287337
-0.21418,0.208667582
-0.20828,0.2094075
-0.19662,0.210949033
-0.19382,0.211488707
-0.1549,0.216717067
-0.15185,0.217567373
-0.11862,0.227066167
-0.08355,0.236459918
-0.04576,0.237209846
-0.01863,0.233101497
0.01703,0.23817838
0.04139,0.24741151
0.04445,0.247992895
0.06781,0.252531194
0.14613,0.27415346
0.19173,0.289721807
0.23729,0.303645244
0.30103,0.325477281
0.33666,0.334822946
0.37475,0.342834868
0.41497,0.348249745
0.46642,0.353314839
0.52427,0.354365097
0.59406,0.355311267
0.64345,0.35458974
0.68993,0.35242662
0.73094,0.349931488
0.74036,0.347005881
0.74819,0.340479016
0.75587,0.330484391
0.76716,0.308635261
0.77815,0.281053149
0.80618,0.194110663
0.8451,0.057072061
0.86923,-0.025058371
0.88986,-0.086562346
0.92428,-0.155557619
0.95424,-0.193813919
0.97174,-0.214010681
1,-0.240753058
1.00608,-0.247275655
1.01217,-0.253991231
1.01825,-0.260909681
1.02434,-0.268039947
1.03042,-0.275392391
1.03651,-0.282978095
1.04139,-0.289248165
1.04748,-0.297692703
1.05356,-0.306426928
1.05956,-0.31534401
1.06565,-0.322412208
1.07173,-0.3296994
1.07782,-0.337216678
1.08279,-0.34353381
1.08887,-0.353844373
1.09495,-0.364555462
1.09691,-0.368088703
1.10299,-0.382117281
1.10908,-0.396822055
1.10924,-0.397224013
1.11533,-0.407806582
1.12141,-0.418809513
1.12749,-0.430258676
1.13033,-0.435764894
1.13642,-0.448106175
1.1425,-0.460991687
1.14613,-0.468944087
1.15221,-0.470613283
1.1583,-0.472312111
1.16137,-0.473181454
1.16745,-0.472102131
1.17354,-0.471010067
1.17609,-0.470547829
1.18218,-0.47086107
1.18826,-0.471179678
1.19434,-0.471502378
1.20043,-0.471830466
1.20412,-0.472031301
1.2102,-0.474567742
1.21629,-0.477155565
1.22237,-0.479795606
1.22846,-0.482488726
1.23045,-0.483382667
1.23653,-0.487284927
1.24262,-0.491276407
1.2487,-0.495363335
1.25479,-0.499548079
1.25527,-0.499887078
1.26136,-0.506567045
1.26744,-0.513447681
1.27353,-0.520538425
1.27875,-0.526808012
1.28484,-0.533511997
1.29092,-0.54041755
1.29701,-0.547535796
1.30103,-0.552362958
1.30711,-0.558686709
1.3132,-0.565196449
1.31928,-0.571899238
1.32222,-0.575204904
1.3283,-0.581582691
1.33439,-0.588148059
1.34047,-0.594909886
1.34242,-0.597119866
1.34851,-0.603537365
1.35459,-0.610143139
1.36068,-0.616946214
1.36173,-0.61814337
1.36781,-0.624431484
1.3739,-0.630901084
1.37998,-0.637562767
1.38021,-0.637819223
1.3863,-0.644043023
1.39238,-0.650444691
1.39794,-0.656461433
1.40402,-0.662602643
1.41011,-0.668923115
1.41497,-0.674106853
1.42106,-0.680159282
1.42714,-0.686383731
1.43136,-0.690810737
1.43745,-0.696678642
1.44353,-0.702712329
1.44716,-0.706389979
1.45324,-0.712500591
1.45933,-0.718789313
1.4624,-0.722031123
1.46848,-0.727886754
1.47457,-0.733904777
1.47712,-0.736482284
