log10(E (MeV)),log10(sigma (barn))
-11.00000001,4.564637589
-10.95740992,4.543343196
-10.95435514,4.541916943
-10.9148197,4.522048824
-10.90873553,4.519193535
-10.87222968,4.500754461
-10.86309119,4.496443561
-10.82963971,4.479460136
-10.81747122,4.473690184
-10.78704973,4.458165858
-10.77182709,4.450909985
-10.74445954,4.4368716
-10.72620684,4.428125963
-10.70186969,4.41557739
-10.68056287,4.405314605
-10.65927953,4.394283199
-10.63494242,4.382499211
-10.61668939,4.372989092
-10.58929868,4.359655909
-10.57409947,4.35169502
-10.54367787,4.336808073
-10.53150926,4.33040101
-10.49803431,4.313931945
-10.48891927,4.309107068
-10.45241346,4.291050864
-10.44632922,4.287813229
-10.40677012,4.268140977
-10.40373916,4.26651943
-10.36114906,4.245225717
-10.31855903,4.223932563
-10.31247471,4.221077362
-10.27596898,4.202639392
-10.26380038,4.196869685
-10.23337891,4.181346223
-10.21512606,4.172600965
-10.19078887,4.160053039
-10.16645169,4.1482695
-10.14819874,4.138759855
-10.11777728,4.123873452
-10.10560873,4.117466701
-10.06604992,4.09779497
-10.06301865,4.096173293
-10.02042858,4.074880446
-10.01434431,4.07202532
-9.97783854,4.053587722
-9.962615336,4.046331927
-9.935248583,4.032294849
-9.907856803,4.018961552
-9.892658422,4.011001459
-9.853098375,3.99132863
-9.850068419,3.989707643
-9.807478284,3.968414492
-9.795309843,3.962644715
-9.764888125,3.947120836
-9.73749719,3.933787179
-9.722298212,3.925826267
-9.679708069,3.904530886
-9.676654234,3.903105016
-9.637118098,3.883235947
-9.612780903,3.871450415
-9.594527981,3.861939291
-9.551937856,3.840641211
-9.545853606,3.837785379
-9.509347925,3.819342916
-9.475872982,3.802868289
-9.466757872,3.798041791
-9.424167764,3.77673987
-9.399830594,3.764949837
-9.381577731,3.755435004
-9.338987678,3.734127832
-9.317681502,3.723857554
-9.29639757,3.712817425
-9.253807462,3.691503675
-9.229470304,3.679706366
-9.211217484,3.670185539
-9.168627353,3.648863464
-9.132121638,3.630777654
-9.126037342,3.62753457
-9.083447246,3.606201971
-9.040857196,3.584860687
-9.022604343,3.576093166
-8.998267161,3.563512603
-8.955677108,3.542156444
-8.913086996,3.520789006
-8.897865484,3.513505897
-8.870496959,3.499412193
-8.827906917,3.478023895
-8.785316852,3.456620947
-8.751842426,3.440056595
-8.74272677,3.435202783
-8.700136721,3.413771153
-8.657546665,3.392321053
-8.614956583,3.370851058
-8.578450836,3.352628977
-8.572366528,3.349360825
-8.529776462,3.32785382
-8.487186416,3.306326004
-8.444596356,3.284776581
-8.402006277,3.263202636
-8.362447696,3.243243938
-8.359416234,3.241597911
-8.316826151,3.219957258
-8.274236115,3.198266819
-8.23164605,3.176521382
-8.189055968,3.154721859
-8.146465936,3.132873886
-8.103875849,3.110977241
-8.073454408,3.095641243
-8.061285821,3.089036012
-8.018695743,3.067054093
-7.976105667,3.045028721
-7.933515621,3.022952762
-7.890925564,3.000807296
-7.85136698,2.980252218
-7.848335493,2.978590614
-7.811829728,2.959615637
-7.805745463,2.956280808
-7.772271158,2.938872849
-7.763155392,2.93387564
-7.732733916,2.918040517
-7.720565313,2.911365584
-7.69317532,2.897084965
-7.677975247,2.888735755
-7.65363807,2.876019238
-7.63538519,2.865966862
-7.617132325,2.856379142
-7.597878307,2.845751141
-7.596879481,2.845212536
-7.56037372,2.825625688
